"POTEAU_ID_POT","DATE_CONCEPTION_POT","DESCRIPTION_REP","DESCRIPTION_RTP","X","Y","ID_ARRONDISSEMENT","TRC_ID"
6195,20140603000000,"Réel","2- Tige et manchon","300075.344","5044228.5",21,1210004
6196,20050714000000,"Réel","2- Tige et manchon","300072.44","5044217.5",21,1210004
6198,20111212000000,"Réel","2- Tige et manchon","299964.868","5044284.945",21,1210004
6205,19990605000000,"Réel","2- Tige et manchon","300048.902","5044247.632",21,1210004
6209,20071213000000,"Réel","1- Tige et base","299957.552","5044274.894",21,1210004
6211,19990605000000,"Réel","4- Poteau en bois","299975.36","5044258.023",21,1210004
6212,20071213000000,"Réel","3- Fût","299983.18","5044261.973",21,1210004
6216,20120302000000,"Réel","2- Tige et manchon","299991.719",5044257,21,1210004
6217,20120302000000,"Réel","3- Fût","300017.468","5044244.931",21,1210004
6218,20071213000000,"Réel","4- Poteau en bois","300044.38","5044222.5",21,1210004
6220,20120302000000,"Réel","3- Fût","300049.339","5044228.94",21,1210004
6374,19990605000000,"Réel","3- Fût","299829.398","5044270.864",21,1210137
6375,20100309000000,"Réel","3- Fût","299856.719","5044256.5",21,1210136
6377,20100309000000,"Réel","3- Fût","299888.594",5044235,21,1210136
6378,20071214000000,"Réel","2- Tige et manchon","299902.321","5044226.43",21,1210136
6382,20120717000000,"Réel","3- Fût","299945.031","5044203.5",21,1210135
6383,20120717000000,"Réel","3- Fût","299980.438","5044181.5",21,1210135
6384,20120717000000,"Réel","3- Fût","300013.375",5044162,21,1210135
6386,20110713000000,"Réel","1- Tige et base","299929.005","5044226.62",21,1210135
6387,20100225000000,"Réel","2- Tige et manchon","299838.25",5044281,21,1210137
6388,20130111000000,"Réel","2- Tige et manchon","299870.469","5044261.5",21,1210136
6391,20071214000000,"Réel","4- Poteau en bois","299953.065","5044219.179",21,1210135
6393,20120723000000,"Réel","1- Tige et base","299986.313","5044191.5",21,1210135
6394,20120723000000,"Réel","1- Tige et base","300028.219",5044166,21,1210135
6396,,"Réel","4- Poteau en bois","300019.076","5044179.055",21,1210135
6397,20050714000000,"Réel","2- Tige et manchon","300048.044","5044154.633",21,1210135
6405,20050714000000,"Réel","2- Tige et manchon","300107.75","5044299.5",21,1210178
6406,20100317000000,"Réel","2- Tige et manchon","300098.281",5044287,21,1210178
6407,20130402000000,"Réel","1- Tige et base","299931.25",5044387,21,1210180
6409,20130402000000,"Réel","1- Tige et base","299963.656","5044370.5",21,1210180
6411,20140219000000,"Réel","10- Fût et feux","299981.563",5044363,21,1210180
6412,20130402000000,"Réel","10- Fût et feux","300000.219",5044351,21,1210178
6413,20100723000000,"Réel","1- Tige et base","300025.563","5044336.5",21,1210178
6414,20120206000000,"Réel","2- Tige et manchon","300075.437","5044310.778",21,1210178
6416,20090127000000,"Réel","3- Fût","299937.656","5044365.5",21,1210180
6417,20080129000000,"Réel","4- Poteau en bois","299947.407","5044353.882",21,1210180
6419,20130402000000,"Réel","10- Fût et feux","299975.969","5044343.5",21,1210317
6420,20130402000000,"Réel","10- Fût et feux","299991.906","5044336.5",21,1210317
6421,20120302000000,"Réel","3- Fût","300017.616","5044327.229",21,1210178
6422,20120302000000,"Réel","3- Fût","300056.961","5044307.187",21,1210178
6423,20100317000000,"Réel","2- Tige et manchon","300066.75","5044293.5",21,1210178
6424,20140604000000,"Réel","3- Fût","300088.625",5044291,21,1210178
6472,20100317000000,"Réel","3- Fût","300034.875","5044415.5",21,1210267
6474,19990605000000,"Réel","3- Fût","300062.966","5044401.287",21,1210267
6475,20100514000000,"Réel","3- Fût","300102.594",5044381,21,1210267
6476,20110216000000,"Réel","10- Fût et feux","300126.719",5044366,21,1210267
6479,20110216000000,"Réel","10- Fût et feux",300122,"5044354.5",21,1210267
6480,20100317000000,"Réel","3- Fût","300125.031","5044344.5",21,1390641
6481,20071213000000,"Réel","1- Tige et base","300031.193","5044399.816",21,1210267
6482,20071213000000,"Réel","1- Tige et base","300046.172","5044392.656",21,1210267
6483,20071213000000,"Réel","1- Tige et base","300066.47","5044382.5",21,1210267
6486,20071213000000,"Réel","1- Tige et base","300109.625","5044358.5",21,1210267
6541,20120911000000,"Réel","10- Fût et feux","299893.531",5044174,21,1210315
6542,20060519000000,"Réel","10- Fût et feux","299872.652","5044178.545",21,1210118
6544,20071214000000,"Réel","10- Fût et feux","299875.968","5044179.155",21,1210315
6545,19990605000000,"Réel","2- Tige et manchon","299878.921","5044180.705",21,1210315
6546,20071214000000,"Réel","3- Fût","299895.648","5044211.268",21,1210315
6547,20050510000000,"Réel","2- Tige et manchon","299912.962","5044240.721",21,1210136
6548,20130221000000,"Réel","3- Fût","299932.531",5044273,21,1210316
6549,19990605000000,"Réel","1- Tige et base","299953.469","5044307.527",21,1210317
6550,19990605000000,"Réel","1- Tige et base","299957.329","5044310.208",21,1210317
6551,19990605000000,"Réel","3- Fût","299970.024","5044334.14",21,1210317
6552,20100514000000,"Réel","2- Tige et manchon",299903,"5044189.5",21,1210315
6553,20110719000000,"Réel","3- Fût","299927.627","5044230.06",21,1210316
6554,20120116000000,"Réel","3- Fût","299964.085","5044289.186",21,1210317
8642,20100303000000,"Réel","10- Fût et feux","299098.969","5043841.5",21,1210252
8643,20100329000000,"Réel","2- Tige et manchon",299117,"5043830.5",21,1210009
8644,20140925000000,"Réel","2- Tige et manchon","299124.906",5043825,21,1210009
8645,20120301000000,"Réel","1- Tige et base","299175.531","5043790.5",21,1210009
8646,20140829000000,"Réel","2- Tige et manchon","299207.5",5043770,21,1210009
8647,20120301000000,"Réel","2- Tige et manchon","299237.004","5043750.074",21,1210009
8648,20140925000000,"Réel","1- Tige et base","299232.031","5043752.5",21,1210009
8649,20080501000000,"Réel","10- Fût et feux","299263.473","5043730.492",21,1210009
8650,20140123000000,"Réel","10- Fût et feux","299272.406","5043743.5",21,1210216
8651,20120301000000,"Réel","3- Fût","299241.936","5043762.085",21,1210009
8652,19990513000000,"Réel","3- Fût","299209.652","5043784.807",21,1210009
8653,20120301000000,"Réel","3- Fût","299181.468","5043803.479",21,1210009
8654,20140123000000,"Réel","3- Fût","299150.031","5043824.5",21,1210009
8655,20120306000000,"Réel","1- Tige et base","299137.092","5043832.632",21,1210009
8656,20121012000000,"Réel","3- Fût",299118,5043846,21,1210009
8657,20071220000000,"Réel","10- Fût et feux","299107.06","5043856.024",21,1210253
8658,20100317000000,"Réel","10- Fût et feux","299277.625","5043720.5",21,1210008
8659,20140108000000,"Réel","3- Fût","299300.656","5043702.5",21,1210008
8660,20140925000000,"Réel","3- Fût","299327.125","5043685.5",21,1210008
8661,20110202000000,"Réel","3- Fût","299362.5",5043664,21,1210008
8662,20120301000000,"Réel","1- Tige et base","299377.242","5043670.376",21,1210008
8663,20090309000000,"Réel","3- Fût","299388.938",5043646,21,1210008
8664,20090309000000,"Réel","3- Fût","299417.313",5043627,21,1210008
8665,20120723000000,"Réel","3- Fût","299441.719",5043611,21,1210008
8666,20140108000000,"Réel","1- Tige et base","299460.844",5043598,21,1210008
8667,20140108000000,"Réel","1- Tige et base",299465,"5043595.5",21,1210008
8668,20090309000000,"Réel","3- Fût","299470.344","5043591.5",21,1210008
8671,20140129000000,"Réel","10- Fût et feux","299490.406","5043598.5",21,1210307
8674,20140127000000,"Réel","1- Tige et base","299412.469",5043647,21,1210008
8675,20100330000000,"Réel","1- Tige et base","299302.75","5043720.5",21,1210008
8678,20100330000000,"Réel","1- Tige et base","299498.938","5043573.5",21,1210007
8679,20140128000000,"Réel","1- Tige et base","299505.688","5043585.5",21,1210007
8680,20140109000000,"Réel","2- Tige et manchon","299510.781","5043582.5",21,1210007
8682,20120329000000,"Réel","3- Fût","299532.531","5043567.5",21,1210007
8683,20140925000000,"Réel","3- Fût","299565.188","5043545.5",21,1210007
8684,20110706000000,"Réel","1- Tige et base","299583.906",5043533,21,1210007
8685,20111220000000,"Réel","1- Tige et base","299594.938",5043525,21,1210007
8686,20090309000000,"Réel","3- Fût","299588.594","5043529.5",21,1210007
8687,20140129000000,"Réel","3- Fût","299619.313",5043509,21,1210007
8688,20140109000000,"Réel","3- Fût","299651.406","5043487.5",21,1210007
8689,20090210000000,"Réel","2- Tige et manchon","299642.75",5043477,21,1210007
8690,20140123000000,"Réel","1- Tige et base","299618.406",5043493,21,1210007
8691,20111220000000,"Réel","2- Tige et manchon","299586.5",5043515,21,1210007
8692,20140123000000,"Réel","1- Tige et base","299546.031",5043542,21,1210007
8694,20131211000000,"Réel","1- Tige et base","299512.156","5043564.5",21,1210007
8697,20070731000000,"Réel","3- Fût","299037.056","5043746.753",21,1210020
8700,20110412000000,"Réel","1- Tige et base","299134.719","5043680.5",21,1210019
8701,20081121000000,"Réel","1- Tige et base","299159.813",5043664,21,1210019
8702,20121211000000,"Réel","1- Tige et base","299199.375",5043638,21,1210018
8703,20100504000000,"Réel","1- Tige et base","299193.125","5043625.5",21,1210018
8704,20121211000000,"Réel","3- Fût","299178.469",5043635,21,1210018
8705,20050415000000,"Réel","1- Tige et base","299172.601","5043639.253",21,1210198
8706,20081121000000,"Réel","3- Fût","299152.156","5043652.5",21,1210019
8707,20081121000000,"Réel","3- Fût","299127.563",5043669,21,1210019
8708,20081121000000,"Réel","1- Tige et base","299105.938","5043682.5",21,1210019
8709,20081121000000,"Réel","3- Fût","299096.031",5043690,21,1210019
8710,20100504000000,"Réel","3- Fût","299070.781","5043706.5",21,1210019
8713,20060614000000,"Réel","2- Tige et manchon","299589.834","5043361.416",21,1210016
8714,20100311000000,"Réel","1- Tige et base","299597.688","5043371.5",21,1210016
8715,20140724000000,"Réel","1- Tige et base","299612.875",5043345,21,1210016
8716,20081030000000,"Réel","1- Tige et base","299645.969","5043323.5",21,1210016
8717,20100311000000,"Réel","2- Tige et manchon","299687.75","5043296.5",21,1210016
8718,20120302000000,"Réel","1- Tige et base","299741.372","5043261.566",21,1210016
8719,19990513000000,"Réel","3- Fût","299768.501","5043215.012",21,1210016
8720,20090116000000,"Réel","1- Tige et base","299772.375","5043224.5",21,1210016
8721,20120727000000,"Réel","1- Tige et base","299779.75","5043236.5",21,1210016
8723,20120727000000,"Réel","9- Autres","299802.938",5043222,21,1210016
8725,20130424000000,"Réel","9- Autres","299807.406",5043219,21,1210016
8726,20130424000000,"Réel","3- Fût",299814,"5043228.5",21,1210016
8727,20100518000000,"Réel","3- Fût","299788.375",5043246,21,1210016
8730,20120302000000,"Réel","3- Fût","299714.281","5043294.5",21,1210016
8731,20120302000000,"Réel","3- Fût","299680.813",5043316,21,1210016
8732,20120302000000,"Réel","3- Fût",299647,5043338,21,1210016
8733,20120302000000,"Réel","3- Fût","299612.244","5043360.326",21,1210016
8734,20071024000000,"Réel","1- Tige et base","299399.421","5044285.835",21,1210037
8735,20071206000000,"Réel","1- Tige et base","299407.472","5044296.486",21,1210037
8736,20120302000000,"Réel","3- Fût","299420.781",5044289,21,1210037
8737,20120302000000,"Réel","3- Fût","299447.237","5044272.374",21,1210037
8738,20080107000000,"Réel","3- Fût","299472.749","5044256.113",21,1210037
8739,20100202000000,"Réel","3- Fût","299502.5","5044237.5",21,1210036
8740,,"Réel","3- Fût","299534.174","5044216.839",21,1210036
8741,19990514000000,"Réel","1- Tige et base","299551.545","5044210.828",21,1210036
8742,20120209000000,"Réel","3- Fût","299562.438",5044199,21,1210036
8743,20120621000000,"Réel","1- Tige et base","299571.656",5044193,21,1210036
8744,20130509000000,"Réel","1- Tige et base","299444.031","5044257.5",21,1210037
8745,20120618000000,"Réel","1- Tige et base","299472.969",5044234,21,1210160
8746,20130509000000,"Réel","1- Tige et base","299481.594",5044234,21,1210036
8747,20100202000000,"Réel","1- Tige et base","299506.5","5044218.5",21,1210036
8769,20100325000000,"Réel","10- Fût et feux","299830.563","5043290.5",21,1210096
8770,20100209000000,"Réel","10- Fût et feux","299831.469",5043274,21,1210096
8771,20090304000000,"Réel","2- Tige et manchon","299828.344",5043277,21,1210096
8772,20100608000000,"Réel","1- Tige et base","299625.719",5043413,21,1210096
8773,20140603000000,"Réel","2- Tige et manchon","299633.781","5043423.5",21,1210096
8774,20100325000000,"Réel","3- Fût","299651.75",5043411,21,1210096
8775,20070514000000,"Réel","3- Fût","299683.832","5043389.429",21,1210096
8776,20120302000000,"Réel","3- Fût","299714.268","5043368.917",21,1210096
8777,20140604000000,"Réel","3- Fût","299751.125","5043344.5",21,1210096
8778,20070514000000,"Réel","3- Fût","299778.036","5043326.103",21,1210096
8779,20100518000000,"Réel","3- Fût","299804.188","5043308.5",21,1210096
8780,20140711000000,"Réel","1- Tige et base","299810.219",5043289,21,1210096
8782,20140331000000,"Réel","1- Tige et base","299703.594",5043361,21,1210096
8783,20140331000000,"Réel","2- Tige et manchon","299674.656",5043381,21,1210096
8784,20130123000000,"Réel","3- Fût","299880.063","5043530.5",21,1210101
8785,20130906000000,"Réel","3- Fût","299883.594","5043507.5",21,1390629
8786,20050713000000,"Réel","1- Tige et base","299879.02","5043515.481",21,1210101
8787,20120302000000,"Réel","3- Fût","299756.78",5043599,21,1210102
8789,20070808000000,"Réel","3- Fût","299780.98","5043598.759",21,1210144
8790,20130123000000,"Réel","3- Fût","299811.188",5043578,21,1210101
8791,20120302000000,"Réel","3- Fût","299845.672","5043554.625",21,1210101
8792,20140926000000,"Réel","3- Fût","299862.313",5043527,21,1210101
8793,20070808000000,"Réel","3- Fût","299822.719","5043553.5",21,1210101
8794,20120302000000,"Réel","3- Fût","299793.303","5043573.287",21,1210101
8812,20140131000000,"Réel","2- Tige et manchon","299364.063","5044230.5",21,1210112
8813,20111215000000,"Réel","2- Tige et manchon","299370.469","5044240.5",21,1210112
8814,20120302000000,"Réel","3- Fût","299392.688",5044211,21,1210112
8815,20120612000000,"Réel","3- Fût","299419.469",5044193,21,1210112
8816,20081104000000,"Réel","10- Fût et feux","299321.563","5044165.5",21,1210129
8819,20120302000000,"Réel","3- Fût","299358.741","5044161.203",21,1210129
8820,20131210000000,"Réel","3- Fût","299387.031",5044142,21,1210129
8821,20140123000000,"Réel","3- Fût","299422.188",5044119,21,1210128
8822,20131211000000,"Réel","3- Fût","299456.281",5044097,21,1210128
8823,20120911000000,"Réel","3- Fût","299489.938",5044073,21,1210128
8826,20071112000000,"Réel","2- Tige et manchon","299442.577","5044086.786",21,1210128
8828,20140123000000,"Réel","2- Tige et manchon","299335.531",5044156,21,1210129
8829,20100308000000,"Réel","2- Tige et manchon","299347.188","5044148.5",21,1210129
8830,19990514000000,"Réel","10- Fût et feux","299715.992","5043900.188",21,1210124
8831,20140129000000,"Réel","10- Fût et feux","299725.969","5043913.5",21,1210124
8832,20100517000000,"Réel","1- Tige et base","299730.438",5043891,21,1210124
8833,20080715000000,"Réel","1- Tige et base","299792.094",5043849,21,1210124
8834,20140123000000,"Réel","1- Tige et base","299860.594",5043802,21,1210124
8835,20111213000000,"Réel","10- Fût et feux","299928.53",5043755,21,1210124
8836,19990514000000,"Réel","10- Fût et feux","299935.84","5043771.5",21,1210124
8837,20140606000000,"Réel","3- Fût","299904.313","5043792.5",21,1210124
8839,20140606000000,"Réel","3- Fût","299871.469",5043815,21,1210124
8840,20111111000000,"Réel","3- Fût","299839.18","5043838.032",21,1210124
8841,20140123000000,"Réel","3- Fût","299805.094",5043861,21,1210124
8842,20140123000000,"Réel","3- Fût","299772.5",5043883,21,1210124
8843,20120725000000,"Réel","3- Fût","299739.844",5043906,21,1210124
8871,20140120000000,"Réel","3- Fût","299551.469","5043305.5",21,1210139
8873,20140120000000,"Réel","1- Tige et base","299564.563",5043324,21,1210139
8874,20050105000000,"Réel","1- Tige et base","299575.135","5043336.894",21,1210139
8875,20111220000000,"Réel","1- Tige et base","299601.25","5043377.5",21,1210140
8877,20140120000000,"Réel","1- Tige et base","299648.844",5043447,21,1210141
8878,20111114000000,"Réel","1- Tige et base","299636.569","5043429.403",21,1210141
8879,20071023000000,"Réel","3- Fût","299661.792","5043465.746",21,1210006
8880,20090210000000,"Réel","1- Tige et base","299667.719",5043479,21,1210142
8881,20140120000000,"Réel","1- Tige et base","299679.156",5043495,21,1210142
8882,20091006000000,"Réel","10- Fût et feux","299703.781",5043529,21,1210142
8883,,"Réel","2- Tige et manchon","299697.243","5043526.362",21,1210142
8884,20140827000000,"Réel","10- Fût et feux","299687.063","5043537.5",21,1210142
8888,20140602000000,"Réel","1- Tige et base","299680.781","5043527.5",21,1210142
8889,20111220000000,"Réel","3- Fût","299667.954","5043506.62",21,1210142
8891,20140128000000,"Réel","1- Tige et base","299654.719","5043488.5",21,1210142
8892,20140120000000,"Réel","3- Fût","299637.938",5043463,21,1210141
8893,20111220000000,"Réel","1- Tige et base","299620.844",5043439,21,1210141
8894,20111220000000,"Réel","3- Fût","299616.55","5043433.443",21,1210097
8895,20140120000000,"Réel","3- Fût","299597.875",5043405,21,1210140
8896,20090707000000,"Réel","1- Tige et base","299585.688",5043388,21,1210140
8897,20111220000000,"Réel","3- Fût","299581.305","5043381.088",21,1210017
8898,20100311000000,"Réel","1- Tige et base","299573.406","5043369.5",21,1210139
8899,20111220000000,"Réel","3- Fût","299568.157","5043363.796",21,1210139
8900,20140120000000,"Réel","3- Fût","299554.406",5043340,21,1210139
8901,20140129000000,"Réel","1- Tige et base","299541.906","5043321.5",21,1210139
8952,20090218000000,"Réel","10- Fût et feux","299166.688",5043556,21,1210214
8953,20080526000000,"Réel","2- Tige et manchon","299154.339","5043563.986",21,1210214
8954,20140731000000,"Réel","2- Tige et manchon","299063.5",5043393,21,1220092
8956,20111222000000,"Réel","1- Tige et base","299071.674","5043410.521",21,1220142
8958,,"Réel","4- Poteau en bois","299058.576","5043419.352",21,1220142
8960,20131218000000,"Réel","4- Poteau en bois",299106,"5043454.5",21,1220147
8964,20131218000000,"Réel","1- Tige et base","299111.313",5043472,21,1220147
8965,20100208000000,"Réel","2- Tige et manchon","299049.313",5043407,21,1220093
8967,20111222000000,"Réel","4- Poteau en bois","299077.473","5043448.945",21,1220142
8968,20120906000000,"Réel","4- Poteau en bois","299088.594","5043463.5",21,1220142
8969,20131111000000,"Réel","4- Poteau en bois","299088.5","5043466.5",21,1220148
8972,20120907000000,"Réel","4- Poteau en bois","299102.938",5043486,21,1220143
8973,20091126000000,"Réel","4- Poteau en bois","299116.219","5043506.5",21,1220143
8974,20111222000000,"Réel","4- Poteau en bois","299124.906",5043519,21,1220143
8975,20091126000000,"Réel","10- Fût et feux","299142.781","5043543.5",21,1220143
8976,20090302000000,"Réel","2- Tige et manchon","299179.969","5043599.5",21,1210214
8977,20080825000000,"Réel","1- Tige et base","299176.031","5043568.5",21,1210214
8978,20080827000000,"Réel","3- Fût","299191.656","5043594.5",21,1210214
8979,,"Réel","10- Fût et feux","299319.784","5043786.557",21,1210216
8981,19990517000000,"Réel","1- Tige et base","299452.938","5043544.5",21,1210306
8982,20080911000000,"Réel","1- Tige et base","299469.063",5043568,21,1210306
8983,20130906000000,"Réel","3- Fût","299476.188","5043578.5",21,1210306
8984,20121211000000,"Réel","3- Fût","299203.719",5043612,21,1210214
8985,20130129000000,"Réel","3- Fût","299221.656",5043635,21,1210215
8987,20090904000000,"Réel","3- Fût","299240.094",5043667,21,1210215
8988,20080825000000,"Réel","3- Fût","299259.688","5043697.5",21,1210215
8990,20051116000000,"Réel","1- Tige et base","299250.943","5043709.62",21,1210215
8991,20140227000000,"Réel","1- Tige et base","299302.594","5043788.5",21,1210216
8992,20120302000000,"Réel","3- Fût","299297.373","5043752.164",21,1210216
8993,20130107000000,"Réel","10- Fût et feux","299523.719",5043648,21,1210307
8996,20080310000000,"Réel","3- Fût","299332.593","5043802.799",21,1210217
8997,20050804000000,"Réel","10- Fût et feux","299319.47","5043812.49",21,1210217
8998,20131125000000,"Réel","2- Tige et manchon","299338.625",5043839,21,1210217
8999,20120302000000,"Réel","3- Fût","299349.875",5043831,21,1210217
9000,20110427000000,"Réel","3- Fût","299365.906","5043854.5",21,1210217
9001,20140814000000,"Réel","3- Fût","299384.906","5043881.5",21,1210218
9002,20120302000000,"Réel","1- Tige et base","299390.703","5043891.287",21,1210192
9003,20120302000000,"Réel","3- Fût","299400.642","5043906.369",21,1210219
9004,20070920000000,"Réel","3- Fût","299420.768","5043935.612",21,1210219
9005,20120302000000,"Réel","2- Tige et manchon","299446.781","5043978.5",21,1210220
9006,20120302000000,"Réel","3- Fût","299439.096","5043963.094",21,1210220
9007,,"Réel","3- Fût","299456.722","5043991.257",21,1210220
9008,20100318000000,"Réel","3- Fût","299461.625","5043992.5",21,1210242
9009,20080911000000,"Réel","1- Tige et base","299520.719","5043611.5",21,1210307
9010,20120302000000,"Réel","3- Fût","299476.37","5044018.02",21,1210221
9011,20121207000000,"Réel","3- Fût","299494.938",5044049,21,1210221
9012,20120801000000,"Réel","3- Fût","299448.125","5044015.5",21,1210244
9013,20120719000000,"Réel","2- Tige et manchon","299430.813",5043976,21,1210220
9014,20070920000000,"Réel","2- Tige et manchon","299418.261","5043958.564",21,1210220
9015,20100415000000,"Réel","2- Tige et manchon","299407.063",5043948,21,1210295
9016,20140319000000,"Réel","2- Tige et manchon","299385.375","5043909.5",21,1210219
9017,19990517000000,"Réel","3- Fût","299359.031","5043879.5",21,1210106
9024,20140925000000,"Réel","1- Tige et base","299584.594","5044207.5",21,1210223
9026,20100518000000,"Réel","3- Fût","299404.375","5043439.5",21,1210304
9027,20121207000000,"Réel","10- Fût et feux","299602.344","5044233.5",21,1210223
9028,20111220000000,"Réel","2- Tige et manchon","299428.375","5043468.5",21,1210017
9029,20100514000000,"Réel","1- Tige et base","299628.906","5044272.5",21,1210224
9030,19990517000000,"Réel","10- Fût et feux","299641.246","5044292.436",21,1210224
9031,20100222000000,"Réel","10- Fût et feux","299656.938",5044288,21,1210224
9032,19990517000000,"Réel","1- Tige et base","299433.932","5043478.247",21,1210017
9033,20130123000000,"Réel","3- Fût","299637.281",5044258,21,1210224
9034,20121207000000,"Réel","10- Fût et feux","299629.156","5044244.5",21,1210224
9035,20090430000000,"Réel","3- Fût","299440.813",5043492,21,1210305
9039,20121207000000,"Réel","10- Fût et feux","299615.281",5044228,21,1210223
9040,20111220000000,"Réel","1- Tige et base","299462.645","5043520.601",21,1210097
9041,20140128000000,"Réel","3- Fût","299593.375","5044192.5",21,1210223
9042,20120724000000,"Réel","3- Fût","299587.375","5044182.5",21,1210035
9043,19990517000000,"Réel","1- Tige et base","299468.897","5043531.573",21,1210097
9047,20140127000000,"Réel","3- Fût","299474.938","5043543.5",21,1210306
9049,20100318000000,"Réel","1- Tige et base","299921.656","5043698.5",21,1210241
9050,20130527000000,"Réel","3- Fût","299915.625",5043688,21,1210241
9051,19990517000000,"Réel","2- Tige et manchon","299545.301","5043672.926",21,1210308
9052,20130717000000,"Réel","10- Fût et feux","299542.906",5043677,21,1210308
9053,20091109000000,"Réel","3- Fût",299680,"5043846.5",21,1210241
9054,20130410000000,"Réel","2- Tige et manchon","299559.063","5043700.5",21,1210308
9055,20100318000000,"Réel","1- Tige et base","299687.281","5043856.5",21,1210241
9056,20140307000000,"Réel","3- Fût","299570.938","5043719.5",21,1210104
9057,19990517000000,"Réel","3- Fût","299707.595","5043843.063",21,1210241
9058,20091109000000,"Réel","3- Fût","299717.188",5043822,21,1210241
9059,20100318000000,"Réel","3- Fût","299739.344","5043821.5",21,1210241
9060,20120302000000,"Réel","3- Fût","299752.688","5043799.5",21,1210241
9061,20080603000000,"Réel","10- Fût et feux","299581.031","5043734.5",21,1210104
9062,20091109000000,"Réel","3- Fût","299784.938","5043777.5",21,1210241
9063,20120302000000,"Réel","3- Fût","299775.125","5043799.5",21,1210241
9064,19990517000000,"Réel","3- Fût","299806.682","5043776.606",21,1210241
9066,20120302000000,"Réel","3- Fût","299817.375",5043756,21,1210241
9067,20120831000000,"Réel","3- Fût","299840.094","5043753.5",21,1210241
9068,20131125000000,"Réel","3- Fût","299851.156","5043732.5",21,1210241
9069,20120302000000,"Réel","3- Fût","299870.813","5043732.352",21,1210241
9070,20120302000000,"Réel","3- Fût","299904.063",5043710,21,1210241
9071,20100318000000,"Réel","3- Fût",299887,5043707,21,1210241
9072,20140128000000,"Réel","3- Fût","299603.313",5043768,21,1210309
9074,20130709000000,"Réel","10- Fût et feux","299623.625",5043798,21,1210309
9076,20090127000000,"Réel","3- Fût","299270.75","5044052.5",21,1210297
9077,20070705000000,"Réel","2- Tige et manchon","299276.043","5044053.863",21,1210297
9078,19990517000000,"Réel","3- Fût","299302.38","5044032.5",21,1210296
9079,20120301000000,"Réel","2- Tige et manchon","299322.465","5044019.94",21,1210296
9080,20120301000000,"Réel","3- Fût","299344.594","5044003.5",21,1210296
9081,20120301000000,"Réel","3- Fût","299379.337","5043982.366",21,1210296
9083,20120301000000,"Réel","3- Fût","299388.813",5043960,21,1210295
9085,20080215000000,"Réel","2- Tige et manchon","299372.54","5043957.544",21,1210363
9086,20080215000000,"Réel","4- Poteau en bois","299397.161","5043980.056",21,1210295
9087,20100826000000,"Réel","3- Fût","299413.688",5043959,21,1210295
9088,20120301000000,"Réel","3- Fût","299355.128","5043982.376",21,1210296
9089,20120301000000,"Réel","3- Fût","299321.269","5044005.178",21,1210296
9090,20081118000000,"Réel","10- Fût et feux","299634.031",5043815,21,1210292
9091,20101102000000,"Réel","2- Tige et manchon","299269.25","5044029.5",21,1210361
9092,,"Réel","3- Fût","299282.411","5044030.891",21,1210296
9115,20130708000000,"Réel","3- Fût","299661.563","5043855.5",21,1210242
9123,19990517000000,"Réel","12- Balise","299663.75",5043849,21,1210310
9128,20110131000000,"Réel","1- Tige et base","299670.375","5043867.5",21,1210242
9129,20130709000000,"Réel","1- Tige et base","299685.719","5043890.5",21,1210311
9132,,"Réel","10- Fût et feux","299724.496","5043917.77",21,4011763
9133,20140114000000,"Réel","1- Tige et base","299754.094","5043958.5",21,4011763
9134,20111208000000,"Réel","3- Fût","299762.554","5043971.225",21,4011763
9135,20080715000000,"Réel","2- Tige et manchon","299783.563",5044003,21,4011763
9137,20130607000000,"Réel","3- Fût","299784.313","5044036.5",21,4011763
9138,20130221000000,"Réel","3- Fût","299764.281","5044006.5",21,4011763
9143,20120124000000,"Réel","2- Tige et manchon","299738.844","5043968.5",21,4011763
9145,20140129000000,"Réel","3- Fût","299729.844","5043954.5",21,4011763
9146,19990517000000,"Réel","1- Tige et base","299725.7","5043942.342",21,4011763
9147,20070928000000,"Réel","10- Fût et feux","299712.47","5043927.071",21,
9148,20100517000000,"Réel","3- Fût","299810.563","5044043.5",21,1210313
9149,20080529000000,"Réel","1- Tige et base","299821.813",5044060,21,1210313
9150,19990517000000,"Réel","1- Tige et base","299837.968","5044084.226",21,1210313
9152,20120910000000,"Réel","10- Fût et feux","299845.438","5044092.5",21,1210185
9153,20080529000000,"Réel","10- Fût et feux","299825.375","5044098.5",21,1210313
9154,20130221000000,"Réel","2- Tige et manchon","299818.281",5044088,21,1210313
9155,20131211000000,"Réel","3- Fût","299806.688","5044069.5",21,1210313
9157,20101117000000,"Réel","1- Tige et base","299792.063",5044052,21,1210034
9158,20130110000000,"Réel","10- Fût et feux","299852.5","5044106.5",21,1210185
9159,20130410000000,"Réel","1- Tige et base","299862.656",5044123,21,1210314
9160,20080529000000,"Réel","10- Fût et feux","299879.625",5044150,21,1210314
9161,19990517000000,"Réel","10- Fût et feux","299887.111","5044151.642",21,1210117
9162,20080529000000,"Réel","10- Fût et feux","299863.75",5044159,21,1210314
9163,20080529000000,"Réel","2- Tige et manchon","299858.094","5044149.5",21,1210314
9164,20140128000000,"Réel","3- Fût","299853.344","5044138.5",21,1210314
9165,20130702000000,"Réel","2- Tige et manchon","299838.656",5044120,21,1210314
9166,20080529000000,"Réel","10- Fût et feux","299834.688","5044119.5",21,1210186
