"POTEAU_ID_POT","DATE_CONCEPTION_POT","DESCRIPTION_REP","DESCRIPTION_RTP","X","Y","ID_ARRONDISSEMENT","TRC_ID"
1180,19990421000000,"Réel","10- Fût et feux","297966.68","5047221.119",25,1080033
1182,19990421000000,"Réel","9- Autres","297959.182","5047225.869",25,1080288
1183,19990421000000,"Réel","1- Tige et base","297934.916","5047236.56",25,1080288
1185,20140413000000,"Réel","1- Tige et base","297910.156",5047247,25,1080288
1188,20071210000000,"Réel","10- Fût et feux","297884.213","5047258.572",25,1080288
1321,20090429000000,"Réel","4- Poteau en bois","298018.406","5047314.5",25,1080566
1322,19990421000000,"Réel","4- Poteau en bois","298000.968","5047327.099",25,1080566
1323,20081014000000,"Réel","4- Poteau en bois","297993.719",5047325,25,1080566
1324,20121010000000,"Réel","3- Fût","297991.781",5047326,25,1080566
1325,20120607000000,"Réel","3- Fût","297967.906",5047337,25,1080566
1326,20081014000000,"Réel","4- Poteau en bois","297964.219","5047338.5",25,1080566
1328,20100412000000,"Réel","3- Fût","298013.969",5047303,25,1080566
1333,20081028000000,"Réel","4- Poteau en bois","297997.25","5047387.5",25,1080578
1334,19990421000000,"Réel","4- Poteau en bois","298014.454","5047378.884",25,1080578
1335,20081106000000,"Réel","4- Poteau en bois","298015.563",5047379,25,1080578
1336,19990421000000,"Réel","4- Poteau en bois","298028.806","5047372.523",25,1080578
1337,19990421000000,"Réel","2- Tige et manchon","298030.118","5047362.852",25,1080578
1338,19990421000000,"Réel","4- Poteau en bois","298044.429","5047365.383",25,1080578
1339,20081028000000,"Réel","3- Fût","298050.469",5047363,25,1080578
1579,19990422000000,"Réel","9- Autres","297985.989","5047252.032",25,1080034
1581,19990422000000,"Réel","1- Tige et base","298000.152","5047275.124",25,1080034
1582,20110808000000,"Réel","3- Fût","298002.964","5047278.974",25,1080034
1587,20110805000000,"Réel","3- Fût","298024.38",5047315,25,1080566
1588,20110805000000,"Réel","3- Fût","298043.926","5047345.721",25,1080035
4490,19990305000000,"Réel","4- Poteau en bois","295709.75","5046203.411",25,4008116
4495,19990305000000,"Réel","3- Fût","295707.531","5046220.492",25,4008116
4497,20080530000000,"Réel","1- Tige et base","295719.813","5046243.5",25,1100147
4498,20090826000000,"Réel","1- Tige et base","296692.188",5046168,25,1090093
4499,19990305000000,"Réel","4- Poteau en bois","296705.034","5046186.599",25,1090093
4500,19990305000000,"Réel","4- Poteau en bois","296720.128","5046210.781",25,1090093
4502,19990305000000,"Réel","4- Poteau en bois","296750.771","5046259.576",25,1090094
4503,20111012000000,"Réel","4- Poteau en bois","296767.053","5046286.349",25,1090094
4504,20100602000000,"Réel","3- Fût","295956.063","5046426.5",25,1100073
4505,19990305000000,"Réel","1- Tige et base","295976.072","5046433.163",25,1090196
4506,20100715000000,"Réel","1- Tige et base","295974.594","5046415.5",25,1090196
4507,19990305000000,"Réel","4- Poteau en bois","296779.64","5046306.13",25,1090095
4508,20100728000000,"Réel","4- Poteau en bois","296795.281","5046331.5",25,1090095
4509,20081118000000,"Réel","4- Poteau en bois","295995.781","5046419.5",25,1090196
4510,19990305000000,"Réel","4- Poteau en bois","296015.243","5046407.41",25,1090196
4511,20100728000000,"Réel","4- Poteau en bois","296812.781","5046360.5",25,1090095
4512,19990305000000,"Réel","4- Poteau en bois","296040.293","5046391.309",25,1090196
4513,20081118000000,"Réel","4- Poteau en bois","296060.438","5046378.5",25,1090196
4514,20080207000000,"Réel","1- Tige et base","296067.868","5046373.937",25,1090196
4515,20100310000000,"Réel","1- Tige et base","296060.125",5046361,25,1090196
4516,,"Réel","1- Tige et base","296823.628","5046352.635",25,1090095
4517,20061113000000,"Réel","4- Poteau en bois","296806.562","5046325.052",25,1090095
4518,20100412000000,"Réel","10- Fût et feux","296026.063",5046468,25,1091100
4520,19990305000000,"Réel","4- Poteau en bois","296810.802","5046321.712",25,1090095
4521,20090828000000,"Réel","10- Fût et feux","296038.75",5046476,25,1090445
4522,20110705000000,"Réel","3- Fût",296788,5046289,25,1090308
4523,19990305000000,"Réel","10- Fût et feux","296012.101","5046471.766",25,1090044
4524,20050804000000,"Réel","13- Poteau en acier","296757.584","5046246.885",25,1090094
4527,19990305000000,"Réel","10- Fût et feux","296019.854","5046467.066",25,1090044
4528,20090401000000,"Réel","10- Fût et feux","296022.469","5046487.5",25,1070169
4529,19990305000000,"Réel","9- Autres","296028.375","5046491.678",25,1091000
4530,19990305000000,"Réel","10- Fût et feux","296041.844","5046495.509",25,1090046
4531,20080502000000,"Réel","10- Fût et feux","296053.75","5046485.5",25,1090046
4532,20140130000000,"Réel","3- Fût","296054.031",5046477,25,1090445
4533,20050804000000,"Réel","1- Tige et base","296738.01","5046214.272",25,1090297
4534,20090826000000,"Réel","1- Tige et base","296721.031","5046188.5",25,1090093
4537,20081001000000,"Réel","1- Tige et base","296046.938","5046470.5",25,1090445
4538,19990305000000,"Réel","3- Fût","296059.57","5046450.714",25,1091100
4539,19990305000000,"Réel","3- Fût","296079.061","5046440.493",25,1090136
4540,20080221000000,"Réel","10- Fût et feux","296101.38","5046426.5",25,1090269
4541,19990305000000,"Réel","10- Fût et feux","296102.255","5046424.542",25,1090269
4542,20140130000000,"Réel","3- Fût","296097.313",5046448,25,1090136
4543,19990305000000,"Réel","10- Fût et feux","296111.361","5046441.964",25,1090270
4544,19990305000000,"Réel","10- Fût et feux","296110.652","5046439.303",25,1090136
4545,20100716000000,"Réel","1- Tige et base","296185.531",5046560,25,1090301
4546,20100716000000,"Réel","3- Fût","296193.969",5046578,25,1090048
4547,20110330000000,"Réel","1- Tige et base","296194.781","5046572.5",25,1090273
4548,19990305000000,"Réel","3- Fût","296207.281","5046566.846",25,1090273
4549,20050517000000,"Réel","4- Poteau en bois","296209.524","5046561.695",25,1090300
4551,20100716000000,"Réel","1- Tige et base","296213.469",5046545,25,1090300
4552,20100728000000,"Réel","1- Tige et base","296276.188",5046505,25,1090300
4555,20050517000000,"Réel","1- Tige et base","296366.506","5046447.534",25,1090300
4556,19990305000000,"Réel","4- Poteau en bois","296232.298","5046547.674",25,1090300
4557,,"Réel","4- Poteau en bois","296253.389","5046534.272",25,1090300
4558,19990305000000,"Réel","4- Poteau en bois","296277.144","5046519.341",25,1090300
4559,20050517000000,"Réel","4- Poteau en bois","296302.557","5046503.659",25,1090300
4560,19990305000000,"Réel","4- Poteau en bois","296323.953","5046490.018",25,1090300
4561,20050517000000,"Réel","4- Poteau en bois","296354.843","5046470.476",25,1090300
4562,19990305000000,"Réel","1- Tige et base","296373.46","5046458.665",25,1090300
4563,20100902000000,"Réel","10- Fût et feux","296306.188","5046671.5",25,1090322
4564,20100602000000,"Réel","10- Fût et feux","296316.688","5046686.5",25,1090050
4565,20100802000000,"Réel","1- Tige et base","296317.813","5046680.5",25,1090322
4566,20100716000000,"Réel","4- Poteau en bois","296327.375","5046658.5",25,1090322
4567,19990305000000,"Réel","4- Poteau en bois","296354.513","5046641.143",25,1090322
4568,20050517000000,"Réel","4- Poteau en bois","296378.606","5046626.051",25,1090322
4569,19990305000000,"Réel","4- Poteau en bois","296408.903","5046606.669",25,1090322
4570,,"Réel","4- Poteau en bois","296435.858","5046588.888",25,1090322
4571,20080606000000,"Réel","1- Tige et base","296449.563",5046581,25,1090322
4573,,"Réel","4- Poteau en bois","296469.635","5046584.217",25,1090321
4574,20070919000000,"Réel","4- Poteau en bois","296480.003","5046561.655",25,1090321
4575,19990305000000,"Réel","4- Poteau en bois","296497.613","5046551.104",25,1090321
4576,20050517000000,"Réel","1- Tige et base","296386.855","5046636.532",25,1090322
4577,20050726000000,"Réel","1- Tige et base","296454.301","5046593.318",25,1090322
4578,20050726000000,"Réel","1- Tige et base","296457.675","5046591.438",25,1090322
4579,19990305000000,"Réel","4- Poteau en bois","296500.492","5046581.717",25,1090321
4580,20090717000000,"Réel","1- Tige et base","296514.469",5046556,25,1090321
4581,20071220000000,"Réel","4- Poteau en bois","296412.845","5046802.278",25,1090338
4583,20061114000000,"Réel","1- Tige et base","296418.652","5046814.81",25,1090338
4584,19990305000000,"Réel","2- Tige et manchon","296428.22",5046815,25,1090338
4585,20061205000000,"Réel","3- Fût","296430.868","5046806.219",25,1090338
4586,20100119000000,"Réel","3- Fût","296467.031","5046783.5",25,1090338
4587,19990305000000,"Réel","3- Fût","296497.473","5046764.505",25,1090338
4588,20100716000000,"Réel","3- Fût","296444.625","5046782.5",25,1090338
4590,19990305000000,"Réel","3- Fût","296474.906","5046763.475",25,1090338
4591,19990305000000,"Réel","3- Fût","296508.856","5046742.083",25,1090338
4592,20100114000000,"Réel","3- Fût","296536.906","5046739.5",25,1090338
4593,20100114000000,"Réel","4- Poteau en bois","296526.781",5046731,25,1090338
4594,19990305000000,"Réel","3- Fût","296544.629","5046719.27",25,1090338
4595,20100114000000,"Réel","3- Fût","296586.094",5046693,25,1090338
4596,20061205000000,"Réel","3- Fût","296569.753","5046719.03",25,1090338
4597,20130531000000,"Réel","1- Tige et base","296607.188",5046695,25,1090338
4598,20061205000000,"Réel","1- Tige et base","296599.84",5046685,25,1090338
4599,19990305000000,"Réel","1- Tige et base","296432.196","5046790.127",25,1090338
4600,20050427000000,"Réel","3- Fût","296536.793","5046999.137",25,1090056
4601,20131129000000,"Réel","1- Tige et base","296538.844",5046990,25,1090249
4602,20100715000000,"Réel","4- Poteau en bois","296537.531",5046976,25,1090249
4603,20110525000000,"Réel","1- Tige et base","296556.5",5046978,25,1090249
4604,20121114000000,"Réel","1- Tige et base","296651.281",5046904,25,1090249
4605,20100310000000,"Réel","4- Poteau en bois","296567.438","5046957.5",25,1090249
4607,20100329000000,"Réel","4- Poteau en bois","296590.156","5046942.5",25,1090249
4608,20141009000000,"Réel","4- Poteau en bois","296609.875",5046930,25,1090249
4609,20121114000000,"Réel","4- Poteau en bois","296639.063","5046905.5",25,1090249
4610,,"Réel","1- Tige et base","296597.847","5047098.157",25,1090364
4611,,"Réel","1- Tige et base","296668.89","5047053.913",25,1090364
4612,20100719000000,"Réel","1- Tige et base","296725.563",5047018,25,1090364
4613,20100427000000,"Réel","1- Tige et base","296800.781","5046970.5",25,1090364
4614,19990305000000,"Réel","4- Poteau en bois","296604.775","5047109.768",25,1090364
4615,19990305000000,"Réel","4- Poteau en bois","296632.35","5047092.046",25,1090364
4616,20100719000000,"Réel","4- Poteau en bois","296661.313",5047074,25,1090364
4617,19990305000000,"Réel","4- Poteau en bois","296689.774","5047055.823",25,1090364
4618,20100719000000,"Réel","4- Poteau en bois","296718.938",5047038,25,1090364
4619,19990305000000,"Réel","4- Poteau en bois","296748.346","5047018.859",25,1090364
4620,20100105000000,"Réel","4- Poteau en bois",296775,5047002,25,1090364
4621,19990305000000,"Réel","4- Poteau en bois","296797.151","5046988.406",25,1090364
4622,19990305000000,"Réel","1- Tige et base","296802.232","5046985.296",25,1090364
4623,20130708000000,"Réel","1- Tige et base","296668.344","5047212.5",25,1090371
4625,20111101000000,"Réel","1- Tige et base","296698.46","5047210.508",25,1090371
4626,20050209000000,"Réel","1- Tige et base","296810.579","5047139.651",25,1090371
4627,20100730000000,"Réel","1- Tige et base","296880.031","5047096.5",25,1090371
4628,20100715000000,"Réel","4- Poteau en bois","296682.875",5047204,25,1090371
4629,20050209000000,"Réel","1- Tige et base","296691.88",5047200,25,1090371
4630,19990305000000,"Réel","4- Poteau en bois","296698.13","5047195.516",25,1090371
4631,20050209000000,"Réel","1- Tige et base","296701.28","5047193.5",25,1090371
4633,20050810000000,"Réel","4- Poteau en bois","296756.759","5047158.633",25,1090371
4634,,"Réel","4- Poteau en bois",296783,5047142,25,1090371
4635,19990305000000,"Réel","4- Poteau en bois","296813.565","5047122.869",25,1090371
4636,20100730000000,"Réel","4- Poteau en bois","296833.875","5047109.5",25,1090371
4637,19990305000000,"Réel","4- Poteau en bois","296858.78","5047092.5",25,1090371
4638,20130411000000,"Réel","4- Poteau en bois","296867.094",5047085,25,1090117
4639,20090115000000,"Réel","1- Tige et base","296865.281","5047089.5",25,1090371
4640,20130708000000,"Réel","2- Tige et manchon","296678.031",5047224,25,1090371
4641,20070925000000,"Réel","8- Pilier","296725.03",5047340,25,1080502
4642,20061120000000,"Réel","8- Pilier","296730.876","5047352.451",25,1080502
4643,,"Réel","3- Fût","296733.54","5047328.039",25,1090061
4644,20140503000000,"Réel","1- Tige et base","296739.594","5047329.5",25,1090390
4645,20100413000000,"Réel","2- Tige et manchon","296746.781","5047341.5",25,1090390
4646,20050321000000,"Réel","1- Tige et base","296764.092","5047329.969",25,1090390
4647,20080915000000,"Réel","1- Tige et base","296855.031",5047274,25,1090390
4648,20090218000000,"Réel","1- Tige et base","296871.75","5047272.5",25,1090390
4649,20100413000000,"Réel","4- Poteau en bois","296755.75","5047319.5",25,1090390
4650,20100715000000,"Réel","4- Poteau en bois","296769.75",5047311,25,1090390
4651,19990305000000,"Réel","4- Poteau en bois","296798.974","5047292.356",25,1090390
4652,19990305000000,"Réel","4- Poteau en bois","296820.791","5047278.664",25,1090390
4653,20100420000000,"Réel","4- Poteau en bois","296842.688",5047265,25,1090390
4654,20090218000000,"Réel","4- Poteau en bois","296876.375","5047258.5",25,1090390
4655,19990305000000,"Réel","8- Pilier","296741.104","5047411.607",25,1080267
4657,,"Réel","8- Pilier","296764.76","5047413.387",25,1090199
4658,19990305000000,"Réel","10- Fût et feux","296762.805","5047413.687",25,1090199
4659,,"Réel","10- Fût et feux","296781.611","5047408.167",25,1090063
4660,20140405000000,"Réel","10- Fût et feux","296783.563",5047402,25,1090407
4661,19990305000000,"Réel","8- Pilier","296757.353","5047401.106",25,1090199
4662,19990305000000,"Réel","10- Fût et feux","296759.539","5047397.236",25,1090062
4663,20140503000000,"Réel","10- Fût et feux","296774.719","5047388.5",25,1090407
4664,20100730000000,"Réel","1- Tige et base","296815.625","5047383.5",25,1090407
4665,20090218000000,"Réel","1- Tige et base","296890.844","5047337.5",25,4009595
4666,19990305000000,"Réel","4- Poteau en bois","296962.241","5047313.698",25,
4668,20090817000000,"Réel","4- Poteau en bois","296807.375","5047367.5",25,1090407
4669,19990305000000,"Réel","4- Poteau en bois","296832.602","5047354.472",25,1090407
4671,20130212000000,"Réel","4- Poteau en bois","296885.5",5047321,25,4009595
4672,20130212000000,"Réel","4- Poteau en bois","296909.063",5047307,25,4009595
4673,20100908000000,"Réel","4- Poteau en bois","296935.5",5047291,25,4009595
4674,20100908000000,"Réel","4- Poteau en bois","296962.625",5047274,25,4009595
4675,20050810000000,"Réel","1- Tige et base","296967.751","5047270.934",25,4009595
4676,20111122000000,"Réel","3- Fût","296970.696","5047266.513",25,1090287
4677,19990305000000,"Réel","9- Autres","296785.29","5047470.013",25,1080242
4678,19990305000000,"Réel","9- Autres","296789.876","5047477.093",25,1080242
4679,19990305000000,"Réel","1- Tige et base","296797.613","5047459.932",25,1080242
4680,20090204000000,"Réel","1- Tige et base","296805.031",5047472,25,1080242
4681,20131121000000,"Réel","1- Tige et base","296820.125","5047462.5",25,1090186
4682,,"Réel","1- Tige et base","296811.932","5047450.111",25,1090186
4683,20131121000000,"Réel","4- Poteau en bois","296841.875","5047447.5",25,1090186
4684,,"Réel","4- Poteau en bois","296857.298","5047437.98",25,1090186
4685,20131121000000,"Réel","1- Tige et base","296866.125","5047432.5",25,1090186
4686,20131121000000,"Réel","4- Poteau en bois","296895.156",5047414,25,1090186
4688,20110721000000,"Réel","1- Tige et base","296916.594","5047400.5",25,1090186
4689,19990305000000,"Réel","4- Poteau en bois",296928,5047394,25,1090186
4690,20110721000000,"Réel","1- Tige et base","296932.522","5047390.175",25,1090186
4691,19990305000000,"Réel","4- Poteau en bois","296958.744","5047373.653",25,1090186
4692,20091203000000,"Réel","4- Poteau en bois","296989.906",5047354,25,1090186
4693,20131121000000,"Réel","1- Tige et base","297013.469",5047339,25,1090186
4694,20040811000000,"Réel","1- Tige et base","296840.405","5047433.689",25,1090186
4695,20131121000000,"Réel","1- Tige et base","296852.094",5047426,25,1090186
4697,19990305000000,"Réel","1- Tige et base","296920.76","5047379.904",25,1090186
4699,20090318000000,"Réel","2- Tige et manchon","296984.594","5047341.5",25,1090186
4700,20090223000000,"Réel","1- Tige et base","297006.938",5047327,25,1090186
4701,20090223000000,"Réel","3- Fût","297006.813",5047323,25,1090289
4703,19990305000000,"Réel","8- Pilier","296870.25","5047568.5",25,
4705,20101109000000,"Réel","10- Fût et feux","296879.813",5047561,25,1080069
4706,20101109000000,"Réel","10- Fût et feux","296893.313",5047582,25,1080070
4707,20100825000000,"Réel","4- Poteau en bois","296898.813",5047571,25,1080540
4708,,"Réel","4- Poteau en bois","296924.942","5047554.711",25,1080540
4710,19990305000000,"Réel","4- Poteau en bois","296952.459","5047537.289",25,1080540
4711,20090729000000,"Réel","4- Poteau en bois","296978.875",5047521,25,1080540
4712,20100920000000,"Réel","4- Poteau en bois","297001.094",5047507,25,1080540
4713,20101109000000,"Réel","4- Poteau en bois","297026.375","5047490.5",25,1080540
4714,20110119000000,"Réel","1- Tige et base",297038,5047483,25,1080540
4715,20100920000000,"Réel","4- Poteau en bois","297054.031","5047473.5",25,1080540
4716,20101109000000,"Réel","4- Poteau en bois",297078,"5047458.5",25,1080540
4717,20140405000000,"Réel","1- Tige et base","297084.875",5047454,25,1080540
4718,20120528000000,"Réel","1- Tige et base",296917,5047544,25,1080540
4719,20090729000000,"Réel","1- Tige et base","296987.625",5047500,25,1080540
4720,20140405000000,"Réel","1- Tige et base","297076.813","5047443.5",25,1080540
4721,20111122000000,"Réel","3- Fût","297077.688","5047437.5",25,1080412
4722,19990305000000,"Réel","3- Fût","296824.841","5046266.617",25,1090308
4723,20110705000000,"Réel","3- Fût","296862.625",5046243,25,1090308
4724,19990305000000,"Réel","3- Fût","296905.278","5046216.722",25,1090308
4725,19990305000000,"Réel","1- Tige et base","296930.716","5046200.31",25,1090308
4726,20110705000000,"Réel","3- Fût",296947,"5046190.5",25,1090308
4727,19990305000000,"Réel","1- Tige et base","296953.077","5046186.679",25,1090308
4728,19990305000000,"Réel","2- Tige et manchon","296947.576","5046174.538",25,1090308
4729,20140625000000,"Réel","1- Tige et base","296781.688","5046278.5",25,1090308
4730,20090408000000,"Réel","3- Fût","296801.344",5046266,25,1090308
4731,20110705000000,"Réel","3- Fût","296838.563","5046241.5",25,1090308
4732,19990305000000,"Réel","3- Fût","296877.96","5046217.662",25,1090308
4733,20110705000000,"Réel","3- Fût","296920.563","5046191.5",25,1090308
4734,19990305000000,"Réel","4- Poteau en bois","296919.729","5046180.368",25,1090308
4735,20081113000000,"Réel","1- Tige et base","296878.781","5046437.5",25,1090329
4736,20111012000000,"Réel","4- Poteau en bois","296883.486","5046434.553",25,1090329
4737,19990305000000,"Réel","4- Poteau en bois","296904.125",5046421,25,1090329
4738,20110906000000,"Réel","4- Poteau en bois","296929.781",5046405,25,1090329
4739,19990305000000,"Réel","4- Poteau en bois","296955.969",5046389,25,1090329
4740,19990305000000,"Réel","4- Poteau en bois","296981.13","5046372.947",25,1090329
4741,20110907000000,"Réel","4- Poteau en bois","297007.188",5046356,25,1090329
4742,20090114000000,"Réel","4- Poteau en bois","297039.75","5046337.5",25,1090329
4743,20081113000000,"Réel","1- Tige et base","296871.656","5046426.5",25,1090329
4744,20110906000000,"Réel","1- Tige et base","296887.125",5046417,25,1090329
4745,20121009000000,"Réel","1- Tige et base","296926.375",5046392,25,1090329
4746,20110804000000,"Réel","1- Tige et base","296954.25","5046374.5",25,1090329
4747,20110907000000,"Réel","1- Tige et base","296999.281","5046345.5",25,1090329
4748,20111020000000,"Réel","10- Fût et feux","297033.75",5046324,25,1090329
4749,20111012000000,"Réel","4- Poteau en bois","296565.365","5045968.058",25,1100088
4750,20111012000000,"Réel","4- Poteau en bois","296567.221","5045968.848",25,1100120
4751,19990405000000,"Réel","4- Poteau en bois","296585.697","5045998.541",25,1100120
4752,19990405000000,"Réel","4- Poteau en bois","296605.221","5046032.974",25,1090193
4753,19990405000000,"Réel","4- Poteau en bois","296608.71","5046034.624",25,1090091
4754,19990405000000,"Réel","4- Poteau en bois","296622.567","5046056.056",25,1090091
4755,20100715000000,"Réel","4- Poteau en bois","296635.656",5046077,25,1090091
4756,20111012000000,"Réel","10- Fût et feux","296640.482","5046086.699",25,1090133
4757,20061205000000,"Réel","10- Fût et feux","296649.5","5046101.5",25,1090092
4758,19990405000000,"Réel","4- Poteau en bois","296653.75","5046106.5",25,1090092
4759,19990405000000,"Réel","4- Poteau en bois","296666.11","5046124.273",25,1090092
4760,20090826000000,"Réel","4- Poteau en bois","296685.313",5046157,25,1090092
4761,20090825000000,"Réel","1- Tige et base","296698.594",5046149,25,1090222
4762,20100716000000,"Réel","1- Tige et base","296683.375",5046127,25,1090092
4763,20050223000000,"Réel","10- Fût et feux","296665.6",5046089,25,1090092
4764,19990405000000,"Réel","10- Fût et feux","296656.129","5046076.798",25,1090132
4765,20100106000000,"Réel","1- Tige et base","296629.344","5046039.5",25,1090091
4766,20050317000000,"Réel","1- Tige et base","296616.125",5046012,25,1090192
4767,20121114000000,"Réel","1- Tige et base","296590.969","5045978.5",25,1100120
4768,20101109000000,"Réel","1- Tige et base","297118.25",5047513,25,1080550
4769,20131028000000,"Réel","3- Fût","297130.313",5047523,25,1080414
4770,20100715000000,"Réel","3- Fût","297151.531","5047557.5",25,1080414
4771,20131125000000,"Réel","3- Fût","297168.25",5047585,25,1080415
4773,20040603000000,"Réel","1- Tige et base","297201.426","5047603.106",25,1080561
4775,19990405000000,"Réel","4- Poteau en bois","297140.66","5047591.965",25,1080415
4776,20100115000000,"Réel","4- Poteau en bois","297190.656","5047590.5",25,1080415
4777,19990405000000,"Réel","4- Poteau en bois","297173.217","5047562.112",25,1080415
4778,,"Réel","1- Tige et base","297166.428","5047546.05",25,1080556
4779,19990405000000,"Réel","1- Tige et base","297162.494","5047544.98",25,1080556
4780,20100730000000,"Réel","4- Poteau en bois","297154.094",5047531,25,1080414
4781,19990405000000,"Réel","1- Tige et base","297146.125",5047518,25,1080414
4782,20111122000000,"Réel","4- Poteau en bois","297137.594","5047504.5",25,1080414
4783,20130415000000,"Réel","1- Tige et base","296981.938",5047284,25,1090289
4784,20131028000000,"Réel","3- Fût","296992.25","5047299.5",25,1090289
4785,19990405000000,"Réel","1- Tige et base","297016.845","5047339.4",25,1090290
4786,20100607000000,"Réel","1- Tige et base","297035.125",5047367,25,1090290
4787,20131028000000,"Réel","3- Fût","297043.344","5047382.5",25,1090290
4788,19990405000000,"Réel","1- Tige et base","297051.537","5047396.056",25,1090416
4789,20131028000000,"Réel","3- Fût","297065.969","5047417.5",25,1080412
4790,20060227000000,"Réel","1- Tige et base","297088.226","5047455.501",25,1080413
4791,,"Réel","3- Fût","297096.344",5047469,25,1080413
4792,19990405000000,"Réel","1- Tige et base","297107.172","5047485.734",25,1080413
4794,20101109000000,"Réel","1- Tige et base","297130.406",5047489,25,1080549
4796,20040901000000,"Réel","4- Poteau en bois","297118.969","5047474.5",25,1080413
4797,20101109000000,"Réel","4- Poteau en bois","297102.594",5047448,25,1080413
4798,20130321000000,"Réel","1- Tige et base","297100.375","5047428.5",25,1080539
4799,20140625000000,"Réel","1- Tige et base","297092.063",5047430,25,1080412
4800,20100730000000,"Réel","4- Poteau en bois","297083.625",5047417,25,1080412
4801,20130424000000,"Réel","4- Poteau en bois","297066.625",5047388,25,1090415
4802,20110830000000,"Réel","1- Tige et base","297059.917","5047374.639",25,1090415
4803,20101026000000,"Réel","4- Poteau en bois","297051.219","5047364.5",25,1090290
4804,20121120000000,"Réel","4- Poteau en bois","297030.531",5047331,25,1090290
4805,20090223000000,"Réel","4- Poteau en bois","297030.438","5047326.5",25,1090185
4806,20131121000000,"Réel","1- Tige et base",297024,5047317,25,1090185
4807,20090223000000,"Réel","9- Autres","297020.875",5047316,25,1090289
4808,20090223000000,"Réel","4- Poteau en bois","297009.5",5047298,25,1090289
4809,20050620000000,"Réel","4- Poteau en bois","296993.948","5047274.704",25,1090289
4810,20090506000000,"Réel","10- Fût et feux","296681.156",5046810,25,1090284
4811,20040616000000,"Réel","10- Fût et feux","296695.259","5046801.568",25,1090284
4812,20040611000000,"Réel","4- Poteau en bois","296686.47","5046787.5",25,1090284
4813,20040616000000,"Réel","3- Fût","296673.56",5046798,25,1090284
4814,20080423000000,"Réel","1- Tige et base","296663.058","5046781.036",25,1090284
4816,20090408000000,"Réel","4- Poteau en bois","297008.656","5046759.5",25,1090354
4817,20131028000000,"Réel","4- Poteau en bois","297043.813",5046752,25,1090354
4819,20080606000000,"Réel","3- Fût","296638.75",5046753,25,1090345
4820,20040902000000,"Réel","4- Poteau en bois","297101.283","5046715.57",25,1090354
4821,20100510000000,"Réel","4- Poteau en bois","296663.75",5046751,25,1090284
4822,19990405000000,"Réel","4- Poteau en bois","297130.738","5046696.818",25,1090354
4823,20131028000000,"Réel","4- Poteau en bois","297145.844",5046687,25,1090354
4824,20040616000000,"Réel","4- Poteau en bois","296673.625","5046766.5",25,1090284
4826,20131028000000,"Réel","1- Tige et base","297181.25",5046665,25,1090354
4827,20080721000000,"Réel","3- Fût","297172.906",5046649,25,1090157
4828,20090930000000,"Réel","1- Tige et base","297174.219",5046654,25,1090354
4829,20100708000000,"Réel","1- Tige et base","297155.25",5046666,25,1090354
4830,20040902000000,"Réel","1- Tige et base","297093.793","5046705.209",25,1090354
4831,20130423000000,"Réel","1- Tige et base",297436,5047455,25,1080560
4832,20140123000000,"Réel","1- Tige et base","296519.813","5046553.5",25,1090281
4833,20070313000000,"Réel","1- Tige et base","297442.615","5047466.392",25,1080560
4834,20070313000000,"Réel","1- Tige et base","297458.658","5047440.58",25,1080560
4835,19990405000000,"Réel","1- Tige et base","296523.72","5046560.5",25,1090281
4836,20041125000000,"Réel","1- Tige et base","296540.942","5046586.547",25,1090281
4837,20070111000000,"Réel","1- Tige et base","296562.89","5046626.791",25,1090331
4838,20070313000000,"Réel","1- Tige et base","297519.761","5047402.406",25,1080560
4839,20070313000000,"Réel","15- Manchon","297584.601","5047361.192",25,1080560
4840,20041125000000,"Réel","1- Tige et base","296581.919","5046651.574",25,1090282
4841,,"Réel","1- Tige et base","297611.978","5047343.841",25,1080560
4842,20070313000000,"Réel","4- Poteau en bois","297474.767","5047446.25",25,1080560
4843,20070313000000,"Réel","4- Poteau en bois","297499.141","5047430.789",25,1080560
4844,19990405000000,"Réel","4- Poteau en bois","297525.313","5047415.398",25,1080560
4845,19990405000000,"Réel","1- Tige et base","296609.78",5046697,25,1090283
4846,19990405000000,"Réel","4- Poteau en bois","297551.847","5047397.656",25,1080560
4847,19990405000000,"Réel","4- Poteau en bois","297577.434","5047382.454",25,1080560
4848,20130531000000,"Réel","1- Tige et base","296625.438",5046721,25,1090283
4849,20100715000000,"Réel","4- Poteau en bois","297601.375","5047365.5",25,1080560
4850,20091005000000,"Réel","1- Tige et base","297620.656","5047354.5",25,1080560
4851,20040616000000,"Réel","4- Poteau en bois","296651.844",5046732,25,1090283
4852,20040611000000,"Réel","4- Poteau en bois","296639.281","5046712.5",25,1090283
4853,20091111000000,"Réel","4- Poteau en bois","296623.656",5046687,25,1090283
4854,20100510000000,"Réel","4- Poteau en bois","296607.969","5046662.5",25,1090282
4855,19990405000000,"Réel","1- Tige et base","297366.904","5047339.98",25,1080548
4856,19990405000000,"Réel","4- Poteau en bois","296600.938","5046651.5",25,1090282
4857,19990405000000,"Réel","4- Poteau en bois","296584.313","5046625.5",25,1090282
4858,20041125000000,"Réel","4- Poteau en bois","296572.838","5046607.85",25,1090281
4859,19990405000000,"Réel","4- Poteau en bois","297374.756","5047350.811",25,1080548
4860,19990405000000,"Réel","1- Tige et base","297376.917","5047349.401",25,1080548
